class0.black-earth.co.uk	3.8.10.86	2a05:d01c:58d:b600:5cf2:1a9:1570:1cd
class1.black-earth.co.uk	35.176.224.34	2a05:d01c:58d:b600:4349:861c:87cf:c1da
class2.black-earth.co.uk	3.8.96.140	2a05:d01c:58d:b600:aa47:860c:ab79:a5bc
class3.black-earth.co.uk	3.8.95.189	2a05:d01c:58d:b600:de95:e1d6:6c0:a9d1
class4.black-earth.co.uk	35.178.178.203	2a05:d01c:58d:b600:77b6:9ab7:b4ec:ac5c
class5.black-earth.co.uk	3.10.4.124	2a05:d01c:58d:b600:6383:4cdb:6769:b224
class6.black-earth.co.uk	3.9.190.229	2a05:d01c:58d:b600:3398:6661:87c6:b27b
class7.black-earth.co.uk	3.10.5.219	2a05:d01c:58d:b600:fa44:f961:4331:6dfc
class8.black-earth.co.uk	3.8.96.77	2a05:d01c:58d:b600:25e7:1cc5:203c:4418
class9.black-earth.co.uk	3.8.22.149	2a05:d01c:58d:b600:c015:eb55:3f91:2896
class10.black-earth.co.uk	3.8.15.206	2a05:d01c:58d:b600:da73:4f13:fa4f:b897
class11.black-earth.co.uk	35.176.25.221	2a05:d01c:58d:b600:1c9f:a3bb:da7f:5903
class12.black-earth.co.uk	52.56.56.70	2a05:d01c:58d:b600:c37d:4fbb:fb17:5e67
class13.black-earth.co.uk	3.8.87.48	2a05:d01c:58d:b600:e82a:7682:d03f:bd73
class14.black-earth.co.uk	3.8.96.103	2a05:d01c:58d:b600:7b4:71bc:206:6f31
class15.black-earth.co.uk	18.130.221.20	2a05:d01c:58d:b600:6bcc:4dde:5ff:6df4
class16.black-earth.co.uk	3.8.23.187	2a05:d01c:58d:b600:147d:34f8:eae8:2501
class17.black-earth.co.uk	35.178.191.17	2a05:d01c:58d:b600:13ce:c33a:5cf1:db12
class18.black-earth.co.uk	35.178.182.164	2a05:d01c:58d:b600:690:c0ed:b538:41db
class19.black-earth.co.uk	3.8.95.28	2a05:d01c:58d:b600:60ab:9817:ad01:c2a
